gap,stationary_probability
2,0.10651971849687956
4,0.1051653166910105
6,0.17589961492497677
8,0.07259328110476697
10,0.09143540034523967
12,0.10438188819545877
14,0.05527818350816625
16,0.03747178329571106
18,0.06401540300092949
20,0.031443367414685966
22,0.028322931881556233
24,0.034935599521975835
26,0.015403000929491435
28,0.016027088036117382
30,0.024950205815960694
32,0.0071969193998141015
34,0.0072765900942769884
36,0.010038507502323728
40,0.0054707210197848894
42,0.006174478820873722
