instrument_id,prime_file,start,end,gap,gap_count,event_language_length,event_count,event_density,order,entropy_name,entropy_bits,contexts,information_gain_from_H0,runtime_seconds
IO-001,repository\raw_primes\primes_1_1000000.npy,1,1000000,6,78497,78497,13549,0.17260532249640115,0,H0,0.6636300924487245,1,0.0,0.0
IO-001,repository\raw_primes\primes_1_1000000.npy,1,1000000,6,78497,78497,13549,0.17260532249640115,1,H1,0.6626327240732737,2,0.0009973683754508356,0.02419447898864746
IO-001,repository\raw_primes\primes_1_1000000.npy,1,1000000,6,78497,78497,13549,0.17260532249640115,2,H2,0.6622578906735417,4,0.0013722017751828242,0.02540898323059082
IO-001,repository\raw_primes\primes_1_1000000.npy,1,1000000,6,78497,78497,13549,0.17260532249640115,3,H3,0.6616520528015033,8,0.001978039647221208,0.02397918701171875
IO-001,repository\raw_primes\primes_1_1000000.npy,1,1000000,6,78497,78497,13549,0.17260532249640115,4,H4,0.661566079370429,15,0.0020640130782955124,0.02443838119506836
IO-001,repository\raw_primes\primes_1_1000000.npy,1,1000000,6,78497,78497,13549,0.17260532249640115,5,H5,0.6614629403676808,29,0.0021671520810436773,0.02487039566040039
